TeamID,Team,Seed,Region,ChampCount,ChampPct,Rank
1181,Duke,1,East,1375,13.750000000000002,1
1112,Arizona,1,West,1001,10.01,2
1276,Michigan,1,Midwest,962,9.62,3
1196,Florida,1,South,668,6.68,4
1211,Gonzaga,3,West,577,5.7700000000000005,5
1163,UConn,2,East,527,5.27,6
1345,Purdue,2,West,383,3.83,7
1222,Houston,2,South,362,3.62,8
1235,Iowa St,2,Midwest,362,3.62,9
1438,Virginia,3,Midwest,336,3.36,10
1228,Illinois,3,South,287,2.87,11
1277,Michigan St,3,East,264,2.64,12
1116,Arkansas,4,West,260,2.6,13
1314,N Carolina,6,South,252,2.52,14
1242,Kansas,4,East,211,2.11,15
1435,Vanderbilt,5,South,163,1.63,16
1385,St. John's,5,East,156,1.5599999999999998,17
1104,Alabama,4,Midwest,153,1.53,18
1304,Nebraska,4,South,147,1.47,19
1257,Louisville,6,East,120,1.2,20
1388,St Mary's CA,7,South,116,1.16,21
1403,Texas Tech,5,Midwest,111,1.11,22
1397,Tennessee,6,Midwest,111,1.11,23
1246,Kentucky,7,Midwest,106,1.06,24
1387,St Louis,9,Midwest,97,0.97,25
1417,UCLA,7,East,91,0.91,26
1458,Wisconsin,5,West,88,0.88,27
1274,Miami FL,7,West,66,0.66,28
1429,Utah St,9,West,56,0.5599999999999999,29
1140,BYU,6,West,55,0.5499999999999999,30
1437,Villanova,8,West,52,0.52,31
1326,Ohio St,8,East,49,0.49,32
1433,VCU,11,South,48,0.48,33
1155,Clemson,8,South,44,0.44,34
1365,Santa Clara,10,Midwest,42,0.42,35
1234,Iowa,9,South,38,0.38,36
1103,Akron,12,Midwest,35,0.35000000000000003,37
1275,Miami OH,11,Midwest,28,0.27999999999999997,38
1208,Georgia,8,Midwest,24,0.24,39
1378,S Florida,11,East,23,0.22999999999999998,40
1401,Texas A&M,10,South,22,0.22,41
1281,Missouri,10,West,19,0.19,42
1219,High Point,12,West,18,0.18,43
1395,TCU,9,East,15,0.15,44
1270,McNeese St,12,South,15,0.15,45
1400,Texas,11,West,14,0.13999999999999999,46
1320,N Iowa,12,East,10,0.1,47
1416,UCF,10,East,6,0.06,48
1220,Hofstra,13,Midwest,6,0.06,49
1218,Hawaii,13,West,6,0.06,50
1460,Wright St,14,Midwest,4,0.04,51
1407,Troy,13,South,4,0.04,52
1398,Tennessee St,15,Midwest,4,0.04,53
1465,Cal Baptist,13,East,3,0.03,54
1225,Idaho,15,South,2,0.02,55
1335,Penn,14,South,2,0.02,56
1202,Furman,15,East,1,0.01,57
1295,N Dakota St,14,East,1,0.01,58
1244,Kennesaw St,14,West,1,0.01,59
1474,Queens NC,15,West,1,0.01,60
1254,LIU Brooklyn,16,West,0,0.0,61
1373,Siena,16,East,0,0.0,62
1420,UMBC,16,Midwest,0,0.0,63
1341,Prairie View,16,South,0,0.0,64
